subject,schedule,difficulty,habit,GroupName
Python,dd,Beginner,"Short, structured lessons; review notes; set goals",Study_Py_MB
Python,dd,Intermediate,Deep study sessions; teach-back; Pomodoro,Study_Py_MI
Python,dd,Advanced,Complex tasks; critical thinking; journaling ideas,Study_Py_MA
Python,Afternoon,Beginner,Interactive learning; group study; mini-recaps,Study_Py_AB
Python,Afternoon,Intermediate,Apply knowledge; concept mapping; review walk,Study_Py_AI
Python,Afternoon,Advanced,Project work; collaboration; skill layering,Study_Py_AA
Python,Evening,Beginner,Light reading; practice problems; reward session,Study_Py_EB
Python,Evening,Intermediate,Revision; experimentation; peer discussion,Study_Py_EI
Python,Evening,Advanced,Self-assessment; mentoring; review loop,Study_Py_EA
JavaScript,dd,Beginner,"Short, structured lessons; review notes; set goals",Study_Ja_MB
JavaScript,dd,Intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ja_MI
JavaScript,dd,Advanced,Complex tasks; critical thinking; journaling ideas,Study_Ja_MA
JavaScript,Afternoon,Beginner,Interactive learning; group study; mini-recaps,Study_Ja_AB
JavaScript,Afternoon,Intermediate,Apply knowledge; concept mapping; review walk,Study_Ja_AI
JavaScript,Afternoon,Advanced,Project work; collaboration; skill layering,Study_Ja_AA
JavaScript,Evening,Beginner,Light reading; practice problems; reward session,Study_Ja_EB
JavaScript,Evening,Intermediate,Revision; experimentation; peer discussion,Study_Ja_EI
JavaScript,Evening,Advanced,Self-assessment; mentoring; review loop,Study_Ja_EA
Java,dd,Beginner,"Short, structured lessons; review notes; set goals",Study_Ja_MB
Java,dd,Intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ja_MI
Java,dd,Advanced,Complex tasks; critical thinking; journaling ideas,Study_Ja_MA
Java,Afternoon,Beginner,Interactive learning; group study; mini-recaps,Study_Ja_AB
Java,Afternoon,Intermediate,Apply knowledge; concept mapping; review walk,Study_Ja_AI
Java,Afternoon,Advanced,Project work; collaboration; skill layering,Study_Ja_AA
Java,Evening,Beginner,Light reading; practice problems; reward session,Study_Ja_EB
Java,Evening,Intermediate,Revision; experimentation; peer discussion,Study_Ja_EI
Java,Evening,Advanced,Self-assessment; mentoring; review loop,Study_Ja_EA
C++,dd,Beginner,"Short, structured lessons; review notes; set goals",Study_C+_MB
C++,dd,Intermediate,Deep study sessions; teach-back; Pomodoro,Study_C+_MI
C++,dd,Advanced,Complex tasks; critical thinking; journaling ideas,Study_C+_MA
C++,Afternoon,Beginner,Interactive learning; group study; mini-recaps,Study_C+_AB
C++,Afternoon,Intermediate,Apply knowledge; concept mapping; review walk,Study_C+_AI
C++,Afternoon,Advanced,Project work; collaboration; skill layering,Study_C+_AA
C++,Evening,Beginner,Light reading; practice problems; reward session,Study_C+_EB
C++,Evening,Intermediate,Revision; experimentation; peer discussion,Study_C+_EI
C++,Evening,Advanced,Self-assessment; mentoring; review loop,Study_C+_EA
C,dd,Beginner,"Short, structured lessons; review notes; set goals",Study_C_MB
C,dd,Intermediate,Deep study sessions; teach-back; Pomodoro,Study_C_MI
C,dd,Advanced,Complex tasks; critical thinking; journaling ideas,Study_C_MA
C,Afternoon,Beginner,Interactive learning; group study; mini-recaps,Study_C_AB
C,Afternoon,Intermediate,Apply knowledge; concept mapping; review walk,Study_C_AI
C,Afternoon,Advanced,Project work; collaboration; skill layering,Study_C_AA
C,Evening,Beginner,Light reading; practice problems; reward session,Study_C_EB
C,Evening,Intermediate,Revision; experimentation; peer discussion,Study_C_EI
C,Evening,Advanced,Self-assessment; mentoring; review loop,Study_C_EA
C#,dd,Beginner,"Short, structured lessons; review notes; set goals",Study_C#_MB
C#,dd,Intermediate,Deep study sessions; teach-back; Pomodoro,Study_C#_MI
C#,dd,Advanced,Complex tasks; critical thinking; journaling ideas,Study_C#_MA
C#,Afternoon,Beginner,Interactive learning; group study; mini-recaps,Study_C#_AB
