subject,schedule,difficulty,habit,GroupName
python,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Py_MB
python,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Py_MI
python,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Py_MA
python,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Py_AB
python,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Py_AI
python,afternoon,advanced,Project work; collaboration; skill layering,Study_Py_AA
python,evening,beginner,Light reading; practice problems; reward session,Study_Py_EB
python,evening,intermediate,Revision; experimentation; peer discussion,Study_Py_EI
python,evening,advanced,Self-assessment; mentoring; review loop,Study_Py_EA
javascript,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ja_MB
javascript,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ja_MI
javascript,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ja_MA
javascript,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ja_AB
javascript,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ja_AI
javascript,afternoon,advanced,Project work; collaboration; skill layering,Study_Ja_AA
javascript,evening,beginner,Light reading; practice problems; reward session,Study_Ja_EB
javascript,evening,intermediate,Revision; experimentation; peer discussion,Study_Ja_EI
javascript,evening,advanced,Self-assessment; mentoring; review loop,Study_Ja_EA
java,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ja_MB
java,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ja_MI
java,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ja_MA
java,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ja_AB
java,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ja_AI
java,afternoon,advanced,Project work; collaboration; skill layering,Study_Ja_AA
java,evening,beginner,Light reading; practice problems; reward session,Study_Ja_EB
java,evening,intermediate,Revision; experimentation; peer discussion,Study_Ja_EI
java,evening,advanced,Self-assessment; mentoring; review loop,Study_Ja_EA
c++,morning,beginner,"Short, structured lessons; review notes; set goals",Study_C+_MB
c++,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_C+_MI
c++,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_C+_MA
c++,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_C+_AB
c++,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_C+_AI
c++,afternoon,advanced,Project work; collaboration; skill layering,Study_C+_AA
c++,evening,beginner,Light reading; practice problems; reward session,Study_C+_EB
c++,evening,intermediate,Revision; experimentation; peer discussion,Study_C+_EI
c++,evening,advanced,Self-assessment; mentoring; review loop,Study_C+_EA
c,morning,beginner,"Short, structured lessons; review notes; set goals",Study_C_MB
c,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_C_MI
c,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_C_MA
c,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_C_AB
c,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_C_AI
c,afternoon,advanced,Project work; collaboration; skill layering,Study_C_AA
c,evening,beginner,Light reading; practice problems; reward session,Study_C_EB
c,evening,intermediate,Revision; experimentation; peer discussion,Study_C_EI
c,evening,advanced,Self-assessment; mentoring; review loop,Study_C_EA
c#,morning,beginner,"Short, structured lessons; review notes; set goals",Study_C#_MB
c#,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_C#_MI
c#,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_C#_MA
c#,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_C#_AB
c#,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_C#_AI
c#,afternoon,advanced,Project work; collaboration; skill layering,Study_C#_AA
c#,evening,beginner,Light reading; practice problems; reward session,Study_C#_EB
c#,evening,intermediate,Revision; experimentation; peer discussion,Study_C#_EI
c#,evening,advanced,Self-assessment; mentoring; review loop,Study_C#_EA
go,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Go_MB
go,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Go_MI
go,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Go_MA
go,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Go_AB
go,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Go_AI
go,afternoon,advanced,Project work; collaboration; skill layering,Study_Go_AA
go,evening,beginner,Light reading; practice problems; reward session,Study_Go_EB
go,evening,intermediate,Revision; experimentation; peer discussion,Study_Go_EI
go,evening,advanced,Self-assessment; mentoring; review loop,Study_Go_EA
rust,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ru_MB
rust,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ru_MI
rust,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ru_MA
rust,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ru_AB
rust,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ru_AI
rust,afternoon,advanced,Project work; collaboration; skill layering,Study_Ru_AA
rust,evening,beginner,Light reading; practice problems; reward session,Study_Ru_EB
rust,evening,intermediate,Revision; experimentation; peer discussion,Study_Ru_EI
rust,evening,advanced,Self-assessment; mentoring; review loop,Study_Ru_EA
ruby,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ru_MB
ruby,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ru_MI
ruby,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ru_MA
ruby,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ru_AB
ruby,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ru_AI
ruby,afternoon,advanced,Project work; collaboration; skill layering,Study_Ru_AA
ruby,evening,beginner,Light reading; practice problems; reward session,Study_Ru_EB
ruby,evening,intermediate,Revision; experimentation; peer discussion,Study_Ru_EI
ruby,evening,advanced,Self-assessment; mentoring; review loop,Study_Ru_EA
php,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ph_MB
php,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ph_MI
php,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ph_MA
php,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ph_AB
php,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ph_AI
php,afternoon,advanced,Project work; collaboration; skill layering,Study_Ph_AA
php,evening,beginner,Light reading; practice problems; reward session,Study_Ph_EB
php,evening,intermediate,Revision; experimentation; peer discussion,Study_Ph_EI
php,evening,advanced,Self-assessment; mentoring; review loop,Study_Ph_EA
bash,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ba_MB
bash,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ba_MI
bash,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ba_MA
bash,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ba_AB
bash,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ba_AI
bash,afternoon,advanced,Project work; collaboration; skill layering,Study_Ba_AA
bash,evening,beginner,Light reading; practice problems; reward session,Study_Ba_EB
bash,evening,intermediate,Revision; experimentation; peer discussion,Study_Ba_EI
bash,evening,advanced,Self-assessment; mentoring; review loop,Study_Ba_EA
powershell,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Po_MB
powershell,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Po_MI
powershell,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Po_MA
powershell,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Po_AB
powershell,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Po_AI
powershell,afternoon,advanced,Project work; collaboration; skill layering,Study_Po_AA
powershell,evening,beginner,Light reading; practice problems; reward session,Study_Po_EB
powershell,evening,intermediate,Revision; experimentation; peer discussion,Study_Po_EI
powershell,evening,advanced,Self-assessment; mentoring; review loop,Study_Po_EA
perl,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Pe_MB
perl,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Pe_MI
perl,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Pe_MA
perl,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Pe_AB
perl,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Pe_AI
perl,afternoon,advanced,Project work; collaboration; skill layering,Study_Pe_AA
perl,evening,beginner,Light reading; practice problems; reward session,Study_Pe_EB
perl,evening,intermediate,Revision; experimentation; peer discussion,Study_Pe_EI
perl,evening,advanced,Self-assessment; mentoring; review loop,Study_Pe_EA
haskell,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ha_MB
haskell,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ha_MI
haskell,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ha_MA
haskell,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ha_AB
haskell,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ha_AI
haskell,afternoon,advanced,Project work; collaboration; skill layering,Study_Ha_AA
haskell,evening,beginner,Light reading; practice problems; reward session,Study_Ha_EB
haskell,evening,intermediate,Revision; experimentation; peer discussion,Study_Ha_EI
haskell,evening,advanced,Self-assessment; mentoring; review loop,Study_Ha_EA
elixir,morning,beginner,"Short, structured lessons; review notes; set goals",Study_El_MB
elixir,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_El_MI
elixir,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_El_MA
elixir,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_El_AB
elixir,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_El_AI
elixir,afternoon,advanced,Project work; collaboration; skill layering,Study_El_AA
elixir,evening,beginner,Light reading; practice problems; reward session,Study_El_EB
elixir,evening,intermediate,Revision; experimentation; peer discussion,Study_El_EI
elixir,evening,advanced,Self-assessment; mentoring; review loop,Study_El_EA
lisp,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Li_MB
lisp,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Li_MI
lisp,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Li_MA
lisp,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Li_AB
lisp,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Li_AI
lisp,afternoon,advanced,Project work; collaboration; skill layering,Study_Li_AA
lisp,evening,beginner,Light reading; practice problems; reward session,Study_Li_EB
lisp,evening,intermediate,Revision; experimentation; peer discussion,Study_Li_EI
lisp,evening,advanced,Self-assessment; mentoring; review loop,Study_Li_EA
prolog,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Pr_MB
prolog,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Pr_MI
prolog,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Pr_MA
prolog,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Pr_AB
prolog,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Pr_AI
prolog,afternoon,advanced,Project work; collaboration; skill layering,Study_Pr_AA
prolog,evening,beginner,Light reading; practice problems; reward session,Study_Pr_EB
prolog,evening,intermediate,Revision; experimentation; peer discussion,Study_Pr_EI
prolog,evening,advanced,Self-assessment; mentoring; review loop,Study_Pr_EA
typescript,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ty_MB
typescript,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ty_MI
typescript,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ty_MA
typescript,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ty_AB
typescript,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ty_AI
typescript,afternoon,advanced,Project work; collaboration; skill layering,Study_Ty_AA
typescript,evening,beginner,Light reading; practice problems; reward session,Study_Ty_EB
typescript,evening,intermediate,Revision; experimentation; peer discussion,Study_Ty_EI
typescript,evening,advanced,Self-assessment; mentoring; review loop,Study_Ty_EA
dart,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Da_MB
dart,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Da_MI
dart,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Da_MA
dart,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Da_AB
dart,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Da_AI
dart,afternoon,advanced,Project work; collaboration; skill layering,Study_Da_AA
dart,evening,beginner,Light reading; practice problems; reward session,Study_Da_EB
dart,evening,intermediate,Revision; experimentation; peer discussion,Study_Da_EI
dart,evening,advanced,Self-assessment; mentoring; review loop,Study_Da_EA
swift,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Sw_MB
swift,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Sw_MI
swift,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Sw_MA
swift,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Sw_AB
swift,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Sw_AI
swift,afternoon,advanced,Project work; collaboration; skill layering,Study_Sw_AA
swift,evening,beginner,Light reading; practice problems; reward session,Study_Sw_EB
swift,evening,intermediate,Revision; experimentation; peer discussion,Study_Sw_EI
swift,evening,advanced,Self-assessment; mentoring; review loop,Study_Sw_EA
kotlin,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ko_MB
kotlin,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ko_MI
kotlin,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ko_MA
kotlin,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ko_AB
kotlin,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ko_AI
kotlin,afternoon,advanced,Project work; collaboration; skill layering,Study_Ko_AA
kotlin,evening,beginner,Light reading; practice problems; reward session,Study_Ko_EB
kotlin,evening,intermediate,Revision; experimentation; peer discussion,Study_Ko_EI
kotlin,evening,advanced,Self-assessment; mentoring; review loop,Study_Ko_EA
web development,morning,beginner,"Short, structured lessons; review notes; set goals",Study_We_MB
web development,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_We_MI
